,ii,v6,vz
0,[-2.7415 -2.741  -2.739  ...  1.352   1.352   1.35  ],[ 0.5495  0.5485  0.5485 ... -0.654  -0.654  -0.657 ],[ 3.3875  3.387   3.3855 ... -1.994  -1.995  -1.991 ]
1,[-0.3175 -0.317  -0.315  ...  0.1635  0.1615  0.166 ],[ 0.274   0.276   0.2785 ... -0.1335 -0.1335 -0.134 ],[-1.641  -1.645  -1.6425 ...  1.8345  1.833   1.8295]
2,[-1.0505 -1.0505 -1.055  ...  3.232   3.2355  3.2395],[-0.1975 -0.205  -0.1985 ...  1.578   1.578   1.577 ],[ 0.6005  0.613   0.607  ... -1.0555 -1.058  -1.05  ]
3,[ 1.99    1.987   1.9875 ... -3.272  -3.273  -3.2755],[-0.777  -0.776  -0.781  ...  0.6045  0.601   0.604 ],[1.424  1.4165 1.417  ... 0.244  0.2415 0.242 ]
4,[-0.128 -0.126 -0.122 ...  0.37   0.371  0.372],[ 0.617   0.6175  0.6155 ... -0.5945 -0.593  -0.594 ],[-1.2095 -1.204  -1.1915 ...  0.163   0.1665  0.17  ]
5,[-1.0115 -1.01   -1.011  ... -0.1805 -0.1825 -0.1875],[-0.063  -0.0615 -0.061  ... -0.366  -0.364  -0.363 ],[3.8995 3.903  3.902  ... 0.2675 0.27   0.271 ]
6,[-0.015  -0.023  -0.0345 ...  0.1845  0.179   0.1755],[ 0.9025  0.9     0.892  ... -0.0805 -0.083  -0.083 ],[-0.1365 -0.1235 -0.1195 ... -0.054  -0.0455 -0.0445]
7,[-0.3255 -0.3245 -0.3215 ...  0.174   0.1745  0.171 ],[ 0.1215  0.1165  0.118  ... -0.174  -0.1745 -0.1725],[0.2105 0.2025 0.2025 ... 0.026  0.027  0.0325]
8,[-0.572  -0.577  -0.576  ...  0.384   0.3855  0.389 ],[-0.0385 -0.0385 -0.0405 ...  0.043   0.0445  0.0475],[-1.5065 -1.5115 -1.514  ...  1.12    1.1235  1.1305]
9,[-1.9765 -1.977  -1.9745 ...  0.7025  0.701   0.698 ],[ 0.725   0.7265  0.726  ... -0.125  -0.127  -0.125 ],[ 1.1725  1.1755  1.1775 ... -0.3565 -0.358  -0.359 ]
10,[-0.7245 -0.7215 -0.723  ... -0.4585 -0.4595 -0.459 ],[-0.0795 -0.099  -0.113  ... -0.028  -0.031  -0.0345],[-2.6525 -2.648  -2.6415 ...  0.2405  0.253   0.258 ]
11,[ 1.1865  1.1845  1.176  ... -1.031  -1.052  -1.1195],[ 0.2435  0.2395  0.2405 ... -0.813  -0.7485 -0.7065],[0.439  0.448  0.434  ... 0.476  0.4375 0.3405]
12,[-0.0085 -0.0065 -0.009  ...  0.1115  0.1045  0.0985],[ 0.0175  0.018   0.0165 ... -0.0985 -0.0965 -0.093 ],[-0.1825 -0.1845 -0.18   ...  0.3905  0.3935  0.402 ]
13,[-0.1425 -0.136  -0.1335 ...  0.053   0.046   0.0455],[0.0675 0.07   0.0695 ... 0.0115 0.013  0.0135],[-0.1125 -0.1145 -0.114  ...  0.322   0.3205  0.319 ]
14,[ 0.374   0.3675  0.371  ... -0.3735 -0.37   -0.3735],[ 0.073   0.0755  0.075  ... -0.12   -0.1195 -0.12  ],[ 0.009   0.0115  0.002  ... -0.003  -0.0155 -0.0195]
15,[-1.0265 -1.0325 -1.0315 ...  0.7825  0.7775  0.7745],[ 0.576   0.5785  0.572  ... -0.764  -0.767  -0.7705],[ 2.236   2.2235  2.2425 ... -0.805  -0.801  -0.793 ]
16,[-0.8955 -0.9005 -0.907  ...  0.9445  0.9435  0.9455],[-0.963  -0.9695 -0.969  ...  1.044   1.045   1.044 ],[0.047  0.04   0.036  ... 1.4775 1.4805 1.487 ]
17,[-0.3815 -0.3795 -0.377  ...  0.021   0.018   0.0145],[-0.4105 -0.4125 -0.4145 ...  0.26    0.263   0.265 ],[ 0.134   0.15    0.159  ... -0.1025 -0.1035 -0.107 ]
18,[ 0.329   0.323   0.3125 ... -0.6795 -0.679  -0.679 ],[ 0.6465  0.6245  0.6015 ... -0.149  -0.1485 -0.1485],[-1.336  -1.3375 -1.3465 ...  1.7715  1.7715  1.7765]
19,[-0.346  -0.362  -0.3765 ... -0.0485 -0.048  -0.0455],[-0.1465 -0.158  -0.1775 ... -0.981  -0.948  -0.9045],[-0.5045 -0.506  -0.5245 ...  0.3025  0.3035  0.3065]
20,[-0.3125 -0.32   -0.318  ...  0.2735  0.2695  0.268 ],[ 0.3045  0.3035  0.302  ... -0.431  -0.4345 -0.433 ],[-0.1985 -0.2075 -0.1975 ...  0.305   0.3045  0.3055]
21,[ 0.718   0.7215  0.7325 ... -0.2155 -0.2165 -0.2155],[ 0.2165  0.211   0.204  ... -0.098  -0.11   -0.1235],[-0.447  -0.434  -0.4465 ...  0.059   0.048   0.0315]
22,[ 0.133   0.152   0.1745 ... -0.188  -0.187  -0.186 ],[ 0.147   0.139   0.121  ... -0.2555 -0.253  -0.256 ],[-0.4015 -0.3935 -0.3795 ...  0.4295  0.429   0.4265]
23,[-0.1395 -0.1385 -0.1415 ...  0.1675  0.1735  0.173 ],[ 0.061   0.0625  0.062  ... -0.4785 -0.4875 -0.4925],[-0.2295 -0.2225 -0.2235 ... -0.8045 -0.7965 -0.8085]
24,[ 0.017   0.018   0.0155 ... -0.2145 -0.215  -0.2175],[-0.0225 -0.0145 -0.014  ...  0.0295  0.0285  0.027 ],[-0.3205 -0.3255 -0.3195 ...  0.3415  0.3425  0.346 ]
