,0
0,"patient240/s0468_re
"
1,"patient246/s0478_re
"
2,"patient150/s0287lre
"
3,"patient233/s0482_re
"
4,"patient244/s0473_re
"
5,"patient174/s0324lre
"
6,"patient233/s0458_re
"
7,"patient236/s0463_re
"
8,"patient242/s0471_re
"
9,"patient279/s0534_re
"
10,"patient284/s0551_re
"
11,"patient239/s0467_re
"
12,"patient234/s0460_re
"
13,"patient233/s0483_re
"
14,"patient174/s0325lre
"
15,"patient229/s0452_re
"
16,"patient245/s0480_re
"
17,"patient279/s0531_re
"
18,"patient184/s0363lre
"
19,"patient182/s0308lre
"
20,"patient284/s0543_re
"
21,"patient170/s0274lre
"
22,"patient263/s0499_re
"
23,"patient247/s0479_re
"
24,"patient156/s0299lre
"
25,"patient279/s0532_re
"
26,"patient264/s0500_re
"
27,"patient117/s0292lre
"
28,"patient166/s0275lre
"
29,"patient229/s0453_re
"
30,"patient279/s0533_re
"
31,"patient121/s0311lre
"
32,"patient236/s0464_re
"
33,"patient105/s0303lre
"
34,"patient233/s0459_re
"
35,"patient155/s0301lre
"
36,"patient172/s0304lre
"
37,"patient238/s0466_re
"
38,"patient198/s0402lre
"
39,"patient116/s0302lre
"
40,"patient236/s0462_re
"
41,"patient198/s0415lre
"
42,"patient173/s0305lre
"
43,"patient252/s0487_re
"
44,"patient169/s0328lre
"
45,"patient174/s0300lre
"
46,"patient255/s0491_re
"
47,"patient241/s0470_re
"
48,"patient284/s0552_re
"
49,"patient185/s0336lre
"
50,"patient243/s0472_re
"
51,"patient241/s0469_re
"
52,"patient235/s0461_re
"
53,"patient117/s0291lre
"
54,"patient237/s0465_re
"
55,"patient266/s0502_re
"
56,"patient131/s0273lre
"
57,"patient233/s0457_re
"
58,"patient245/s0474_re
"
59,"patient169/s0329lre
"
